,Unnamed: 0,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
67,67,Atelier Apartments,239 N 9th St,1 Bed 1.0 Bath,590 sqft,1bd,1ba,"$3,088 - $3,166",Brooklyn,NY,11211,"Atelier Apartments ups the ante for modern Brooklyn living. Located in Brooklyn's Williamsburg neighborhood, you'll be steps away from everything the modern urban resident could ask for.NO BROKER FEES. Atelier Apartments ups the ante for modern Brooklyn living. Admire the contemporary design concept that was inspired by New York's historical industrial scene. Our spacious studios, one- and two-bedrooms are bathed in natural light thanks to the over-sized windows and tall ceilings. Atelier Apartments' collection of amenities will exceed all expectations. Work out in the state-of-the-art fitness center, relax in the resident lounges and play in the game room. Finish each day atop the incredible rooftop deck, looking out across the dramatic views of the New York City skyline.Lease Details: Flexible terms","Heating: Forced Air ,Days on Market: 25 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Dishwasher ,Disposal ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Window Coverings ,Elevator ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/atelier-239-n-9th-st-brooklyn-ny-11211--2175056830,2020-11-17
68,68,Atelier Apartments,239 N 9th St,Unit 2-E307,590 sqft,1bd,1ba,"Contact$3,088",Brooklyn,NY,11211,"Atelier Apartments ups the ante for modern Brooklyn living. Located in Brooklyn's Williamsburg neighborhood, you'll be steps away from everything the modern urban resident could ask for.NO BROKER FEES. Atelier Apartments ups the ante for modern Brooklyn living. Admire the contemporary design concept that was inspired by New York's historical industrial scene. Our spacious studios, one- and two-bedrooms are bathed in natural light thanks to the over-sized windows and tall ceilings. Atelier Apartments' collection of amenities will exceed all expectations. Work out in the state-of-the-art fitness center, relax in the resident lounges and play in the game room. Finish each day atop the incredible rooftop deck, looking out across the dramatic views of the New York City skyline.Lease Details: Flexible terms","Heating: Forced Air ,Days on Market: 25 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Dishwasher ,Disposal ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Window Coverings ,Elevator ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/atelier-239-n-9th-st-brooklyn-ny-11211--2175056830,2020-11-17
69,69,Atelier Apartments,239 N 9th St,Unit 2-E507,590 sqft,1bd,1ba,"Contact$3,166",Brooklyn,NY,11211,"Atelier Apartments ups the ante for modern Brooklyn living. Located in Brooklyn's Williamsburg neighborhood, you'll be steps away from everything the modern urban resident could ask for.NO BROKER FEES. Atelier Apartments ups the ante for modern Brooklyn living. Admire the contemporary design concept that was inspired by New York's historical industrial scene. Our spacious studios, one- and two-bedrooms are bathed in natural light thanks to the over-sized windows and tall ceilings. Atelier Apartments' collection of amenities will exceed all expectations. Work out in the state-of-the-art fitness center, relax in the resident lounges and play in the game room. Finish each day atop the incredible rooftop deck, looking out across the dramatic views of the New York City skyline.Lease Details: Flexible terms","Heating: Forced Air ,Days on Market: 25 Days on Trulia ,Year Built: 2015 ,Property Type: Apartment ,Additional Storage ,Dishwasher ,Disposal ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Window Coverings ,Elevator ,Assigned Parking Space ,Garage ,Parking: Garage Detached ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/atelier-239-n-9th-st-brooklyn-ny-11211--2175056830,2020-11-17
70,70,The Clinton Apartments,520 W 48th St,Studio 1.0 Bath,,Studio,1ba,"$1,800 - $2,200",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
71,71,The Clinton Apartments,520 W 48th St,Unit 3K,,Studio,1ba,"Contact$1,800",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
72,72,The Clinton Apartments,520 W 48th St,Unit 6J,,Studio,1ba,"Contact$1,900",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
73,73,The Clinton Apartments,520 W 48th St,Unit 1A,,Studio,1ba,"Contact$2,200",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
74,74,The Clinton Apartments,520 W 48th St,1 Bed 1.0 Bath,642 sqft,1bd,1ba,"$2,118 - $2,200",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
75,75,The Clinton Apartments,520 W 48th St,Unit 6G,,1bd,1ba,"Contact$2,160",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
76,76,The Clinton Apartments,520 W 48th St,Unit 3N,,1bd,1ba,"Contact$2,150",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
77,77,The Clinton Apartments,520 W 48th St,Unit 5F,642 sqft,1bd,1ba,"Contact$2,200",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
78,78,The Clinton Apartments,520 W 48th St,Unit 2F,,1bd,1ba,"Contact$2,150",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
79,79,The Clinton Apartments,520 W 48th St,Unit 7M,,1bd,1ba,"Contact$2,150",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
80,80,The Clinton Apartments,520 W 48th St,Unit 2R,,1bd,1ba,"Contact$2,118",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
81,81,The Clinton Apartments,520 W 48th St,2 Bed 2.0 Bath,,2bd,2ba,"$3,404",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
82,82,The Clinton Apartments,520 W 48th St,Unit 1B,,2bd,2ba,"Contact$3,404",New York,NY,10036,"The Clinton is located in the prime Midtown West / Clinton neighborhood of New York City. Near Restaurant Row at West 46th Street and 10th ave, the Theater District at 48th street and 8th ave and a short walk to Central Park and Bryant Park.The residences at the Clinton feature large windows that allow tons of natural light, granite counters tops and a complete Whirlpool appliance package. The bathrooms feature Moen fixtures.Building has a Fitness Center, Laundry facilities, Bike Storage and a landscaped garden.","Heating: Other ,Days on Market: 57 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Laundry Facilities ,Microwave ,Air Conditioning ,Elevator ,Patio ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/the-clinton-520-w-48th-st-new-york-ny-10036--2088903158,2020-11-17
83,83,15 Cliff Apartments,15 Cliff St,1 Bed 1.0 Bath,719 sqft,1bd,1ba,"$3,227 - $3,345",New York,NY,10038,"Welcome to 15 Cliff, a first-rate residential community in Downtown Manhattan. Featuring stylishly designed studio, 1 and 2 bedroom apartments for rent in the Financial District, our chic Manhattan apartments offer spacious layouts, upscale amenities and a vibrant location. Enjoy stunning river and city skyline views from our landscaped rooftop deck, work up a sweat in our fully-equipped fitness center and recharge in our onsite cafe. New York City apartment living doesn't get better than this. Surrounded by many world famous shopping, dining and entertainment destinations NYC has to offer, our incredible apartments near the 2, 3, 4, 5, A, C, J and Z subway lines are the perfect match for any lifestyle. Are you looking for luxury rentals in the Financial District? Contact our friendly, professional leasing staff to schedule a tour today.ALL APARTMENTS INCLUDE:Light, airy, open floor plansIn-unit washers & dryersSolar shade window treatmentsSpacious closets with expandable shelvingContemporary bathrooms w/ rain-style showerheads & vanities w/ storageOpen gourmet kitchens, built-in breakfast bars & premium stainless steel appliancesRESIDENTS' FAVORITE: THE ROOFTOP, FEATURINGInspiring views of the Brooklyn Bridge & East RiverSerene landscapingAn outdoor showerGlass-encased fire pits Sun-bathing chairsGas grillsOutdoor entertainment area w/ big screen TV SERVICES & AMENITIES24-Hour concierge24-Hour fitness centerPet friendlyWork-from-home space w/ complimentary Starbucks coffee, tea, & hot cocoaMedia lounge w/ complimentary Wi-FiOn-site maintenance On-site management office with professionals available 7 days a weekcom/15-cliff/virtual-tourPhotos and floor plans are of a representative unit. Prices and incentives are subject to change.","Heating: Forced Air ,Days on Market: 13 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Elevator ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/15-cliff-15-cliff-st-new-york-ny-10038--2008689438,2020-11-17
84,84,15 Cliff Apartments,15 Cliff St,Unit 22C,719 sqft,1bd,1ba,"Contact$3,279",New York,NY,10038,"Welcome to 15 Cliff, a first-rate residential community in Downtown Manhattan. Featuring stylishly designed studio, 1 and 2 bedroom apartments for rent in the Financial District, our chic Manhattan apartments offer spacious layouts, upscale amenities and a vibrant location. Enjoy stunning river and city skyline views from our landscaped rooftop deck, work up a sweat in our fully-equipped fitness center and recharge in our onsite cafe. New York City apartment living doesn't get better than this. Surrounded by many world famous shopping, dining and entertainment destinations NYC has to offer, our incredible apartments near the 2, 3, 4, 5, A, C, J and Z subway lines are the perfect match for any lifestyle. Are you looking for luxury rentals in the Financial District? Contact our friendly, professional leasing staff to schedule a tour today.ALL APARTMENTS INCLUDE:Light, airy, open floor plansIn-unit washers & dryersSolar shade window treatmentsSpacious closets with expandable shelvingContemporary bathrooms w/ rain-style showerheads & vanities w/ storageOpen gourmet kitchens, built-in breakfast bars & premium stainless steel appliancesRESIDENTS' FAVORITE: THE ROOFTOP, FEATURINGInspiring views of the Brooklyn Bridge & East RiverSerene landscapingAn outdoor showerGlass-encased fire pits Sun-bathing chairsGas grillsOutdoor entertainment area w/ big screen TV SERVICES & AMENITIES24-Hour concierge24-Hour fitness centerPet friendlyWork-from-home space w/ complimentary Starbucks coffee, tea, & hot cocoaMedia lounge w/ complimentary Wi-FiOn-site maintenance On-site management office with professionals available 7 days a weekcom/15-cliff/virtual-tourPhotos and floor plans are of a representative unit. Prices and incentives are subject to change.","Heating: Forced Air ,Days on Market: 13 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Elevator ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/15-cliff-15-cliff-st-new-york-ny-10038--2008689438,2020-11-17
85,85,15 Cliff Apartments,15 Cliff St,Unit 23A,719 sqft,1bd,1ba,"Contact$3,345",New York,NY,10038,"Welcome to 15 Cliff, a first-rate residential community in Downtown Manhattan. Featuring stylishly designed studio, 1 and 2 bedroom apartments for rent in the Financial District, our chic Manhattan apartments offer spacious layouts, upscale amenities and a vibrant location. Enjoy stunning river and city skyline views from our landscaped rooftop deck, work up a sweat in our fully-equipped fitness center and recharge in our onsite cafe. New York City apartment living doesn't get better than this. Surrounded by many world famous shopping, dining and entertainment destinations NYC has to offer, our incredible apartments near the 2, 3, 4, 5, A, C, J and Z subway lines are the perfect match for any lifestyle. Are you looking for luxury rentals in the Financial District? Contact our friendly, professional leasing staff to schedule a tour today.ALL APARTMENTS INCLUDE:Light, airy, open floor plansIn-unit washers & dryersSolar shade window treatmentsSpacious closets with expandable shelvingContemporary bathrooms w/ rain-style showerheads & vanities w/ storageOpen gourmet kitchens, built-in breakfast bars & premium stainless steel appliancesRESIDENTS' FAVORITE: THE ROOFTOP, FEATURINGInspiring views of the Brooklyn Bridge & East RiverSerene landscapingAn outdoor showerGlass-encased fire pits Sun-bathing chairsGas grillsOutdoor entertainment area w/ big screen TV SERVICES & AMENITIES24-Hour concierge24-Hour fitness centerPet friendlyWork-from-home space w/ complimentary Starbucks coffee, tea, & hot cocoaMedia lounge w/ complimentary Wi-FiOn-site maintenance On-site management office with professionals available 7 days a weekcom/15-cliff/virtual-tourPhotos and floor plans are of a representative unit. Prices and incentives are subject to change.","Heating: Forced Air ,Days on Market: 13 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Elevator ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/15-cliff-15-cliff-st-new-york-ny-10038--2008689438,2020-11-17
86,86,15 Cliff Apartments,15 Cliff St,Unit 26C,719 sqft,1bd,1ba,"Contact$3,227",New York,NY,10038,"Welcome to 15 Cliff, a first-rate residential community in Downtown Manhattan. Featuring stylishly designed studio, 1 and 2 bedroom apartments for rent in the Financial District, our chic Manhattan apartments offer spacious layouts, upscale amenities and a vibrant location. Enjoy stunning river and city skyline views from our landscaped rooftop deck, work up a sweat in our fully-equipped fitness center and recharge in our onsite cafe. New York City apartment living doesn't get better than this. Surrounded by many world famous shopping, dining and entertainment destinations NYC has to offer, our incredible apartments near the 2, 3, 4, 5, A, C, J and Z subway lines are the perfect match for any lifestyle. Are you looking for luxury rentals in the Financial District? Contact our friendly, professional leasing staff to schedule a tour today.ALL APARTMENTS INCLUDE:Light, airy, open floor plansIn-unit washers & dryersSolar shade window treatmentsSpacious closets with expandable shelvingContemporary bathrooms w/ rain-style showerheads & vanities w/ storageOpen gourmet kitchens, built-in breakfast bars & premium stainless steel appliancesRESIDENTS' FAVORITE: THE ROOFTOP, FEATURINGInspiring views of the Brooklyn Bridge & East RiverSerene landscapingAn outdoor showerGlass-encased fire pits Sun-bathing chairsGas grillsOutdoor entertainment area w/ big screen TV SERVICES & AMENITIES24-Hour concierge24-Hour fitness centerPet friendlyWork-from-home space w/ complimentary Starbucks coffee, tea, & hot cocoaMedia lounge w/ complimentary Wi-FiOn-site maintenance On-site management office with professionals available 7 days a weekcom/15-cliff/virtual-tourPhotos and floor plans are of a representative unit. Prices and incentives are subject to change.","Heating: Forced Air ,Days on Market: 13 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Elevator ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/15-cliff-15-cliff-st-new-york-ny-10038--2008689438,2020-11-17
87,87,15 Cliff Apartments,15 Cliff St,2 Bed 1.0 Bath,,2bd,1ba,"$3,383",New York,NY,10038,"Welcome to 15 Cliff, a first-rate residential community in Downtown Manhattan. Featuring stylishly designed studio, 1 and 2 bedroom apartments for rent in the Financial District, our chic Manhattan apartments offer spacious layouts, upscale amenities and a vibrant location. Enjoy stunning river and city skyline views from our landscaped rooftop deck, work up a sweat in our fully-equipped fitness center and recharge in our onsite cafe. New York City apartment living doesn't get better than this. Surrounded by many world famous shopping, dining and entertainment destinations NYC has to offer, our incredible apartments near the 2, 3, 4, 5, A, C, J and Z subway lines are the perfect match for any lifestyle. Are you looking for luxury rentals in the Financial District? Contact our friendly, professional leasing staff to schedule a tour today.ALL APARTMENTS INCLUDE:Light, airy, open floor plansIn-unit washers & dryersSolar shade window treatmentsSpacious closets with expandable shelvingContemporary bathrooms w/ rain-style showerheads & vanities w/ storageOpen gourmet kitchens, built-in breakfast bars & premium stainless steel appliancesRESIDENTS' FAVORITE: THE ROOFTOP, FEATURINGInspiring views of the Brooklyn Bridge & East RiverSerene landscapingAn outdoor showerGlass-encased fire pits Sun-bathing chairsGas grillsOutdoor entertainment area w/ big screen TV SERVICES & AMENITIES24-Hour concierge24-Hour fitness centerPet friendlyWork-from-home space w/ complimentary Starbucks coffee, tea, & hot cocoaMedia lounge w/ complimentary Wi-FiOn-site maintenance On-site management office with professionals available 7 days a weekcom/15-cliff/virtual-tourPhotos and floor plans are of a representative unit. Prices and incentives are subject to change.","Heating: Forced Air ,Days on Market: 13 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Elevator ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/15-cliff-15-cliff-st-new-york-ny-10038--2008689438,2020-11-17
88,88,15 Cliff Apartments,15 Cliff St,Unit 7E,,2bd,1ba,"Contact$3,383",New York,NY,10038,"Welcome to 15 Cliff, a first-rate residential community in Downtown Manhattan. Featuring stylishly designed studio, 1 and 2 bedroom apartments for rent in the Financial District, our chic Manhattan apartments offer spacious layouts, upscale amenities and a vibrant location. Enjoy stunning river and city skyline views from our landscaped rooftop deck, work up a sweat in our fully-equipped fitness center and recharge in our onsite cafe. New York City apartment living doesn't get better than this. Surrounded by many world famous shopping, dining and entertainment destinations NYC has to offer, our incredible apartments near the 2, 3, 4, 5, A, C, J and Z subway lines are the perfect match for any lifestyle. Are you looking for luxury rentals in the Financial District? Contact our friendly, professional leasing staff to schedule a tour today.ALL APARTMENTS INCLUDE:Light, airy, open floor plansIn-unit washers & dryersSolar shade window treatmentsSpacious closets with expandable shelvingContemporary bathrooms w/ rain-style showerheads & vanities w/ storageOpen gourmet kitchens, built-in breakfast bars & premium stainless steel appliancesRESIDENTS' FAVORITE: THE ROOFTOP, FEATURINGInspiring views of the Brooklyn Bridge & East RiverSerene landscapingAn outdoor showerGlass-encased fire pits Sun-bathing chairsGas grillsOutdoor entertainment area w/ big screen TV SERVICES & AMENITIES24-Hour concierge24-Hour fitness centerPet friendlyWork-from-home space w/ complimentary Starbucks coffee, tea, & hot cocoaMedia lounge w/ complimentary Wi-FiOn-site maintenance On-site management office with professionals available 7 days a weekcom/15-cliff/virtual-tourPhotos and floor plans are of a representative unit. Prices and incentives are subject to change.","Heating: Forced Air ,Days on Market: 13 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Elevator ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/15-cliff-15-cliff-st-new-york-ny-10038--2008689438,2020-11-17
89,89,15 Cliff Apartments,15 Cliff St,2 Bed 2.0 Bath,829 sqft,2bd,2ba,"$3,304 - $3,565",New York,NY,10038,"Welcome to 15 Cliff, a first-rate residential community in Downtown Manhattan. Featuring stylishly designed studio, 1 and 2 bedroom apartments for rent in the Financial District, our chic Manhattan apartments offer spacious layouts, upscale amenities and a vibrant location. Enjoy stunning river and city skyline views from our landscaped rooftop deck, work up a sweat in our fully-equipped fitness center and recharge in our onsite cafe. New York City apartment living doesn't get better than this. Surrounded by many world famous shopping, dining and entertainment destinations NYC has to offer, our incredible apartments near the 2, 3, 4, 5, A, C, J and Z subway lines are the perfect match for any lifestyle. Are you looking for luxury rentals in the Financial District? Contact our friendly, professional leasing staff to schedule a tour today.ALL APARTMENTS INCLUDE:Light, airy, open floor plansIn-unit washers & dryersSolar shade window treatmentsSpacious closets with expandable shelvingContemporary bathrooms w/ rain-style showerheads & vanities w/ storageOpen gourmet kitchens, built-in breakfast bars & premium stainless steel appliancesRESIDENTS' FAVORITE: THE ROOFTOP, FEATURINGInspiring views of the Brooklyn Bridge & East RiverSerene landscapingAn outdoor showerGlass-encased fire pits Sun-bathing chairsGas grillsOutdoor entertainment area w/ big screen TV SERVICES & AMENITIES24-Hour concierge24-Hour fitness centerPet friendlyWork-from-home space w/ complimentary Starbucks coffee, tea, & hot cocoaMedia lounge w/ complimentary Wi-FiOn-site maintenance On-site management office with professionals available 7 days a weekcom/15-cliff/virtual-tourPhotos and floor plans are of a representative unit. Prices and incentives are subject to change.","Heating: Forced Air ,Days on Market: 13 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Laundry Facilities ,Microwave ,Refrigerator ,Washer ,Elevator ,Parking: None ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/ny/new-york/15-cliff-15-cliff-st-new-york-ny-10038--2008689438,2020-11-17
